Hparam	Feature	Model	Reaction-Set	Silhouette	Calinski	Dunn
different_best_hparam	input-reaction	rnn_delta	Reaction-Set-5	-0.01877009448044377	-1.7034576859039037	-0.014727162697439539
different_best_hparam	input-reaction	rnn_delta	Reaction-Set-6	-0.12240454721406738	-3.118567948996247	-0.15564079883730275
different_best_hparam	input-reaction	rnn_delta	Reaction-Set-7	0.0640957267870459	-4.1940098851979295	-0.0750907709524154
different_best_hparam	input-reaction	rnn_delta	Reaction-Set-8	-0.09810032201788534	0.5715157538684315	-0.08802033006673096
different_best_hparam	input-reaction	rnn_delta	Reaction-Set-9	-0.05247008265511508	2.382488516698394	-0.10904585058064248
different_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-1	0.013851681120603629	-2.062868003735101	-0.10484187965356509
different_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-2	-0.0894234278696055	-4.238607789413505	-0.005563180043267613
different_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-3	-0.006976680441478332	-4.091865950921048	-0.0584377258598521
different_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-4	-0.10126559342282934	-0.5151810570241189	-0.14389586782237335
different_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-5	-0.06465214638782904	-5.171595144310975	-0.09980149571401253
different_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-6	-0.05855079369178584	-0.7339179228895834	-0.07109959007733935
different_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-7	0.01406099970158152	6.674133983894975	-0.13496407847532382
different_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-8	0.015772319487544845	-0.9112376692262201	-0.1243538405799939
different_best_hparam	input-reaction-subsystem	rnn	Reaction-Set-9	0.12284613839150497	-4.033773821882431	-0.1408189066862489
different_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-1	-0.08213273995094858	-0.43734274638783965	-0.11180959936994322
different_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-2	0.01235831099834317	-3.922775412055662	-0.06807517471640304
different_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-3	-0.040091864249068354	0.8668231852104711	-0.02561518470527885
different_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-4	-0.07952789389193446	-0.7504017376809164	-0.08123502869096477
different_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-5	-0.01908462513743793	-1.7046433997752963	-0.015929005797408413
different_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-6	-0.12282037647409877	-3.1235605619178575	-0.15649900202607048
different_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-7	0.06484636528307823	-4.1936212742934895	-0.07570775660520151
different_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-8	-0.09835165455937347	0.5903258735321808	-0.08907086707657827
different_best_hparam	input-reaction-subsystem	rnn_delta	Reaction-Set-9	-0.052538199480814354	2.4182292664527223	-0.10989809347837917
different_best_hparam	input-subsystem	rnn	Reaction-Set-1	-0.015065565147991275	-3.9826846650959435	0.03911817792771774
different_best_hparam	input-subsystem	rnn	Reaction-Set-2	-0.009243535106535437	-3.535160588782767	0.034463733078347714
different_best_hparam	input-subsystem	rnn	Reaction-Set-3	-0.0025651926956444526	-3.4145434500110157	0.03484291485265684
different_best_hparam	input-subsystem	rnn	Reaction-Set-4	0.0009580287436617152	-3.1616689496340613	0.03725769051497865
different_best_hparam	input-subsystem	rnn	Reaction-Set-5	-0.00822346142602276	-3.4951172777196957	0.036429109872897186
different_best_hparam	input-subsystem	rnn	Reaction-Set-6	-0.008056981958734492	-3.277966809964842	0.035888607922851395
different_best_hparam	input-subsystem	rnn	Reaction-Set-7	-0.01920888522130569	-2.5068560297537728	0.025670204189494866
different_best_hparam	input-subsystem	rnn	Reaction-Set-8	-0.0007166268366745332	-3.1542620624575375	0.04139250597672048
different_best_hparam	input-subsystem	rnn	Reaction-Set-9	-0.0036863855410300614	-3.45181850894602	0.03604882702176368
different_best_hparam	input-subsystem	rnn_delta	Reaction-Set-1	-0.007229170635118055	-3.302108209583408	0.03457778700936759
different_best_hparam	input-subsystem	rnn_delta	Reaction-Set-2	-0.004734624868904268	-3.414026602598037	0.03622528851004028
different_best_hparam	input-subsystem	rnn_delta	Reaction-Set-3	-0.004191485781947703	-3.371475633656631	0.035876581608492525
different_best_hparam	input-subsystem	rnn_delta	Reaction-Set-4	-0.003934744272399877	-3.386835894191513	0.03588370855424447
different_best_hparam	input-subsystem	rnn_delta	Reaction-Set-5	-0.0034001909568047925	-3.3560136235953038	0.0367336840444015
different_best_hparam	input-subsystem	rnn_delta	Reaction-Set-6	-0.00725760382301488	-3.4440007902829475	0.03581502340094442
different_best_hparam	input-subsystem	rnn_delta	Reaction-Set-7	-0.004100100253539032	-3.4485406375195096	0.03589992188221511
different_best_hparam	input-subsystem	rnn_delta	Reaction-Set-8	-0.006016631634768406	-3.4702954237019594	0.03632184974043032
different_best_hparam	input-subsystem	rnn_delta	Reaction-Set-9	-0.005313208283755776	-3.3327911227269387	0.03638116181801945
Baseline	metabolite	input	-	0.0	0.0	0.0
